week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,13.5,3.0,8.4,0.0,0,56.2
2,16.5,2.7,8.9,19.0,0,67.3
3,12.0,3.2,7.6,2.5,0,63.1
4,14.5,2.5,8.9,30.0,0,65.9
5,19.1,3.2,9.0,9.5,0,62.3
6,12.7,-0.1,5.8,0.0,0,54.7
7,18.3,0.2,9.7,26.5,0,73.3
8,15.2,3.1,8.2,16.0,0,58.4
9,14.7,2.8,8.6,21.5,0,63.0
10,16.2,3.6,9.5,23.5,0,61.7
11,18.9,5.7,11.4,32.0,0,62.1
12,22.0,2.1,12.2,2.0,0,55.9
13,20.7,5.9,12.2,43.5,0,62.1
14,20.8,6.2,12.6,31.5,0,61.3
15,20.4,6.4,12.0,21.5,0,51.4
16,23.0,7.3,14.1,40.0,0,61.9
17,22.2,6.9,14.3,23.5,0,55.3
18,27.8,9.6,18.2,0.0,0,55.7
19,28.6,12.5,19.8,6.5,0,62.1
20,26.9,13.9,20.5,21.0,0,61.4
21,28.5,14.8,20.9,54.0,0,66.6
22,29.7,16.5,22.1,15.5,0,59.7
23,31.1,18.4,24.5,0.0,0,61.1
24,31.9,18.0,25.1,56.0,0,78.1
25,30.9,17.8,23.5,92.5,0,68.9
26,32.9,20.7,26.2,8.0,0,67.9
27,31.1,20.3,24.7,112.5,0,75.3
28,29.9,21.9,25.8,146.5,0,84.0
29,32.8,19.5,24.6,78.0,0,80.6
30,34.4,22.9,27.3,80.5,0,77.3
31,33.9,23.0,28.2,25.0,0,76.4
32,34.8,26.0,29.8,0.0,0,67.3
33,37.7,27.8,31.8,0.0,0,64.3
34,38.6,25.1,31.2,16.0,0,62.0
35,37.0,25.5,30.2,98.5,0,70.6
36,37.6,24.7,29.4,20.5,0,70.9
37,33.7,22.5,27.2,13.0,0,72.9
38,31.6,20.0,25.5,0.0,0,63.0
39,30.1,18.8,23.4,64.0,0,68.6
40,28.4,17.1,22.6,2.5,0,66.0
41,26.4,15.1,19.8,137.0,0,73.9
42,27.6,10.8,18.8,26.0,0,67.6
43,25.1,10.2,17.2,40.0,0,67.3
44,22.5,9.4,16.0,0.0,0,59.3
45,21.2,7.9,15.3,35.5,0,67.0
46,21.9,7.9,13.5,0.0,0,64.0
47,26.6,9.0,17.4,8.5,0,68.3
48,18.6,7.0,12.7,3.0,0,65.0
49,16.2,5.8,10.6,0.0,0,62.3
50,17.0,5.9,11.4,0.0,0,62.0
51,12.4,1.3,6.2,0.0,0,55.3
52,12.5,2.1,7.5,2.0,0,61.4
53,13.3,1.9,7.2,16.5,0,69.8
