week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,1.7,-8.9,-4.5,18.0,24,74.9
2,2.5,-9.2,-0.4,94.0,59,81.7
3,2.8,-10.2,-3.1,21.5,35,72.7
4,2.2,-8.9,-3.6,13.0,30,72.9
5,0.9,-9.4,-4.4,53.5,83,71.4
6,1.5,-8.5,-2.9,2.0,7,67.7
7,2.6,-8.2,-2.2,17.5,24,74.1
8,8.0,-4.1,-0.4,48.0,43,72.0
9,4.2,-3.5,0.3,15.0,16,68.0
10,8.1,-2.7,2.4,6.5,3,66.3
11,6.7,-2.6,1.7,26.0,16,78.1
12,11.8,-1.9,4.0,9.0,2,68.4
13,13.1,-0.9,5.0,2.5,2,54.7
14,16.7,0.8,7.4,2.5,0,56.7
15,21.2,3.0,8.5,2.0,0,64.7
16,23.2,4.0,11.5,9.5,0,54.6
17,17.7,5.4,11.0,0.5,0,52.0
18,27.4,5.3,12.4,5.0,0,60.1
19,27.0,7.9,15.7,3.0,0,55.7
20,24.4,9.7,16.9,1.5,0,56.0
21,27.9,10.3,16.1,40.0,0,76.9
22,22.6,7.9,12.9,21.5,0,75.1
23,21.7,9.0,14.7,1.0,0,68.7
24,25.7,10.7,17.2,16.5,0,79.6
25,30.6,15.1,20.0,19.0,0,76.4
26,32.0,16.1,20.9,29.5,0,83.1
27,31.5,17.7,24.3,0.5,0,74.6
28,29.0,18.8,22.5,51.0,0,78.6
29,28.9,17.9,21.7,11.5,0,82.6
30,32.9,18.7,24.0,0.0,0,77.7
31,28.0,18.9,22.6,21.5,0,75.3
32,30.5,19.5,24.3,70.5,0,79.1
33,29.2,16.4,22.4,111.0,0,78.1
34,29.3,16.5,22.5,0.0,0,67.4
35,26.1,13.3,20.3,30.0,0,75.7
36,30.0,14.0,21.6,7.0,0,66.3
37,27.5,12.6,20.8,5.0,0,73.9
38,24.8,8.6,17.5,75.5,0,73.7
39,29.7,12.1,19.1,0.0,0,70.9
40,22.1,4.0,12.7,40.0,0,70.4
41,21.1,6.2,14.3,24.0,0,73.9
42,22.1,6.1,12.3,5.0,0,64.9
43,17.4,0.8,9.2,11.0,0,70.7
44,15.7,0.8,8.5,1.0,0,62.4
45,17.1,1.2,8.8,24.5,0,62.6
46,10.5,0.8,5.4,24.5,0,77.6
47,14.6,2.2,6.8,17.0,0,70.1
48,13.5,-7.8,0.7,26.5,17,76.4
49,3.7,-5.4,-0.7,9.0,22,74.4
50,7.7,-8.1,-2.8,33.5,45,74.6
51,4.0,-9.3,-1.3,60.0,13,79.1
52,5.5,-10.2,-0.3,6.0,11,73.0
