week,highest_temperature,lowest_temperature,average_temperature,precipitation,snowfall,humidity
1,13.4,-3.5,4.1,6.5,10,56.1
2,11.5,-0.2,5.6,16.0,0,54.0
3,11.8,-1.0,4.3,0.0,0,47.7
4,11.9,0.3,5.9,0.0,0,54.3
5,11.8,-1.9,4.6,0.0,0,44.1
6,10.8,-0.5,4.3,52.0,2,65.1
7,11.8,-0.2,5.2,19.0,0,61.9
8,18.5,-0.5,6.0,0.0,0,38.4
9,18.3,4.3,9.8,4.0,0,50.0
10,21.8,2.6,10.4,0.5,0,56.6
11,24.1,3.8,11.8,71.0,0,70.4
12,21.4,0.5,10.2,28.0,0,71.3
13,22.8,3.6,11.1,37.0,0,65.0
14,26.8,6.7,14.7,55.0,0,71.7
15,26.4,8.0,15.5,24.5,0,78.4
16,26.7,9.5,16.5,72.0,0,79.4
17,27.7,7.4,17.0,55.0,0,76.4
18,26.3,9.3,17.5,8.5,0,68.4
19,25.6,11.2,18.1,49.5,0,78.3
20,26.6,13.2,18.3,49.0,0,80.0
21,31.2,16.0,21.6,60.0,0,70.4
22,28.1,15.8,21.1,24.0,0,74.0
23,26.6,14.7,19.2,48.0,0,83.1
24,28.9,15.1,20.7,6.0,0,81.6
25,36.2,21.4,26.4,5.0,0,76.9
26,37.0,24.1,29.7,0.0,0,69.6
27,32.1,21.8,26.3,5.5,0,75.9
28,34.4,22.1,24.9,179.5,0,91.6
29,34.5,23.1,28.3,1.5,0,75.6
30,35.0,24.6,29.1,46.5,0,78.3
31,36.1,21.6,27.8,18.0,0,77.6
32,35.7,23.7,29.0,49.5,0,78.3
33,36.4,22.7,27.8,20.5,0,76.7
34,33.9,21.4,26.9,10.5,0,82.4
35,32.7,18.6,24.9,44.5,0,85.0
36,32.0,21.3,25.6,7.5,0,81.7
37,32.3,19.5,25.6,74.0,0,77.1
38,30.8,16.5,22.4,190.5,0,85.1
39,29.6,18.5,23.1,0.0,0,69.9
40,29.5,11.3,18.1,83.5,0,84.6
41,25.8,14.7,18.9,23.5,0,81.6
42,23.8,9.7,16.7,7.0,0,74.6
43,22.0,8.5,13.7,4.0,0,64.1
44,24.3,10.0,15.3,0.0,0,66.1
45,24.1,9.6,15.7,0.5,0,67.4
46,18.8,7.7,13.0,12.0,0,68.1
47,20.9,9.5,13.8,47.0,0,75.4
48,21.3,4.9,11.8,43.5,0,71.0
49,15.8,3.6,8.7,29.0,0,72.6
50,15.4,2.3,7.6,9.5,0,59.6
51,13.1,-0.1,6.1,17.5,0,50.3
52,13.7,0.4,6.2,0.0,0,52.7
