疾病,報告年,報告週,～6か月,～12か月,1歳,2歳,3歳,4歳,5歳,6歳,7歳,8歳,9歳,10～14歳,15～19歳,20～29歳,30～39歳,40～49歳,50～59歳,60～69歳,70～79歳,80歳以上,合計,定点数,定点あたり報告数
インフルエンザ,2023,1,2,6,16,14,13,20,22,22,13,16,16,54,25,27,26,10,8,6,3,3,322,55,5.85
インフルエンザ,2023,2,3,4,19,20,24,33,44,29,17,22,14,72,32,31,18,6,7,3,1,1,400,55,7.27
インフルエンザ,2023,3,3,3,19,23,39,61,51,43,23,23,18,58,31,22,11,10,4,3,5,2,452,55,8.22
インフルエンザ,2023,4,1,1,12,27,41,57,71,56,26,40,28,87,7,5,13,12,6,6,4,2,502,55,9.13
インフルエンザ,2023,5,3,6,25,24,51,98,96,98,89,86,71,206,23,14,22,18,6,4,2,1,943,55,17.15
インフルエンザ,2023,6,3,4,19,26,44,99,124,159,88,78,74,198,28,12,28,25,8,1,0,2,1020,55,18.55
インフルエンザ,2023,7,0,13,22,39,63,118,168,128,119,87,75,220,39,10,35,25,4,6,2,2,1175,55,21.36
インフルエンザ,2023,8,6,10,31,41,74,126,138,144,119,84,91,285,31,14,42,27,3,7,0,1,1274,55,23.16
インフルエンザ,2023,9,1,4,17,30,52,81,88,109,95,66,54,221,14,6,21,13,10,2,0,1,885,55,16.09
インフルエンザ,2023,10,0,14,36,40,56,82,117,104,96,86,85,218,26,15,20,13,6,3,2,0,1019,55,18.53
インフルエンザ,2023,11,3,8,17,40,42,63,84,111,74,48,43,186,23,13,27,16,7,0,0,1,806,55,14.65
インフルエンザ,2023,12,3,6,21,27,48,46,47,63,47,36,22,115,18,15,15,18,2,4,3,2,558,55,10.15
インフルエンザ,2023,13,0,6,10,17,33,23,28,32,25,17,16,46,5,14,13,8,4,1,2,6,306,55,5.56
インフルエンザ,2023,14,0,5,10,12,18,22,17,16,16,9,11,24,2,8,5,6,3,2,1,2,189,55,3.44
インフルエンザ,2023,15,0,3,6,5,21,11,13,4,11,5,6,10,1,6,6,3,1,1,1,1,115,55,2.09
インフルエンザ,2023,16,0,1,10,9,20,36,24,34,22,15,11,26,4,5,9,6,0,0,0,1,233,56,4.16
インフルエンザ,2023,17,0,4,10,20,30,51,35,40,50,32,20,66,3,3,12,9,1,1,3,0,390,56,6.96
インフルエンザ,2023,18,1,3,6,8,19,17,16,12,17,26,10,35,5,5,7,9,1,1,2,2,202,56,3.61
インフルエンザ,2023,19,0,1,5,5,3,8,4,7,3,5,1,31,2,3,2,0,0,0,0,2,82,53,1.55
インフルエンザ,2023,20,0,0,12,5,9,9,8,7,4,12,6,34,6,1,3,5,0,1,0,0,122,53,2.30
インフルエンザ,2023,21,0,0,6,4,2,8,11,3,6,1,2,10,0,2,6,2,0,0,1,0,64,53,1.21
インフルエンザ,2023,22,0,0,1,1,4,4,6,3,2,0,0,8,4,1,4,1,1,0,0,0,40,53,0.75
インフルエンザ,2023,23,1,1,2,2,2,2,1,2,0,0,4,1,2,14,3,5,1,3,0,0,46,53,0.87
インフルエンザ,2023,24,0,0,0,1,0,1,1,1,0,0,0,0,6,1,1,0,0,0,0,1,13,53,0.25
インフルエンザ,2023,25,0,0,0,1,0,2,5,1,1,0,0,5,0,5,2,3,1,1,0,0,27,53,0.51
インフルエンザ,2023,26,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,2,0,1,0,0,10,53,0.19
インフルエンザ,2023,27,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,53,0.08
インフルエンザ,2023,28,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,53,0.09
インフルエンザ,2023,29,0,1,3,2,0,2,1,1,3,1,0,10,4,2,1,2,2,2,0,1,38,53,0.72
インフルエンザ,2023,30,0,0,0,0,0,0,0,3,1,1,3,3,0,0,0,1,0,1,0,1,14,56,0.25
インフルエンザ,2023,31,0,0,1,1,0,1,0,0,1,1,0,3,0,0,0,1,1,1,1,1,13,56,0.23
インフルエンザ,2023,32,1,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,8,56,0.14
インフルエンザ,2023,33,0,1,0,0,0,0,0,0,0,0,1,2,7,8,1,3,1,1,0,1,26,56,0.46
インフルエンザ,2023,34,0,0,3,4,3,1,1,3,2,5,1,5,6,4,0,0,0,0,2,1,41,55,0.75
インフルエンザ,2023,35,0,0,1,0,1,1,6,2,1,1,4,5,6,7,2,2,1,0,0,0,40,55,0.73
インフルエンザ,2023,36,1,0,3,1,1,2,5,0,1,2,1,8,9,4,2,0,0,0,1,0,41,56,0.73
インフルエンザ,2023,37,1,0,3,5,4,2,5,3,2,8,4,11,6,4,4,2,0,1,0,0,65,56,1.16
インフルエンザ,2023,38,0,0,3,4,4,4,4,3,10,3,1,21,9,8,9,4,1,4,0,0,92,56,1.64
インフルエンザ,2023,39,0,0,7,4,9,9,10,12,18,11,6,40,23,9,5,7,5,2,0,0,177,56,3.16
インフルエンザ,2023,40,3,1,9,12,9,25,18,32,32,31,29,135,30,13,17,18,6,3,2,2,427,56,7.63
インフルエンザ,2023,41,1,3,12,10,21,20,36,39,37,35,42,129,25,11,12,27,13,4,3,0,480,56,8.57
インフルエンザ,2023,42,0,4,20,34,30,39,57,61,83,103,92,285,61,17,21,32,9,6,5,2,961,56,17.16
インフルエンザ,2023,43,4,8,39,53,69,114,124,128,156,145,162,705,130,39,52,61,24,19,8,4,2044,56,36.50
インフルエンザ,2023,44,3,8,42,56,94,146,148,152,187,183,167,639,91,38,92,75,41,13,14,8,2197,56,39.23
