îN,èT,ÉCÉìÉtÉãÉGÉìÉU,RSÉEÉCÉãÉXä¥êıè«,àÙì™åãñåîM,Ç`åQónååê´⁄›ªãÖã€àÙì™âä,ä¥êıê´à›í∞âä,êÖìó,éËë´å˚ïa,ì`êıê´çgî¡,ìÀî≠ê´î≠ÇµÇÒ,ÉwÉãÉpÉìÉMÅ[Éi,ó¨çsê´é®â∫ëBâä,ã}ê´èoååê´åãñåâä,ó¨çsê´äpåãñåâä,ç◊ã€ê´êëñåâä,ñ≥ã€ê´êëñåâä,É}ÉCÉRÉvÉâÉYÉ}îxâä,ÉNÉâÉ~ÉWÉAîxâäÅiÉIÉEÉÄïaÇèúÇ≠Åj,ä¥êıê´à›í∞âäÅiÉçÉ^ÉEÉCÉãÉXÅj,COVID19
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2007,1èT,0.14379085,1.48241206,0.140703518,0.904522613,3.673366834,2.035175879,0.050251256,0.150753769,0.326633166,0.025125628,0.542713568,0.019230769,0.25,0,0,1.333333333,0,,
2007,2èT,0.5,1.56281407,0.221105528,1.070351759,4.964824121,2.16080402,0.180904523,0.311557789,0.613065327,0.020100503,0.748743719,0.019230769,0.365384615,0,0,0.866666667,0,,
2007,3èT,1.18627451,1.618090452,0.231155779,1.889447236,4.819095477,1.608040201,0.135678392,0.527638191,0.64321608,0.015075377,0.552763819,0.038461538,0.326923077,0,0,1.133333333,0.066666667,,
2007,4èT,2.797385621,1.728643216,0.221105528,2.165829146,4.75879397,1.819095477,0.211055276,0.552763819,0.512562814,0.015075377,0.462311558,0.019230769,0.192307692,0,0,0.733333333,0,,
2007,5èT,5.54248366,1.462311558,0.195979899,2.045226131,5.105527638,1.718592965,0.190954774,0.48241206,0.633165829,0.025125628,0.56281407,0.019230769,0.173076923,0,0,0.866666667,0,,
2007,6èT,11.00653595,0.974874372,0.271356784,2.306532663,5.572864322,2.010050251,0.236180905,0.43718593,0.582914573,0.020100503,0.623115578,0,0.346153846,0.066666667,0.066666667,1.333333333,0,,
2007,7èT,14.40849673,0.75879397,0.251256281,1.969849246,5.150753769,2.035175879,0.190954774,0.35678392,0.48241206,0.020100503,0.422110553,0,0.211538462,0,0.066666667,0.733333333,0,,
2007,8èT,23.33986928,0.56281407,0.286432161,2.010050251,5.939698492,1.874371859,0.271356784,0.43718593,0.603015075,0.020100503,0.532663317,0.019230769,0.269230769,0,0.066666667,0.733333333,0,,
2007,9èT,27.72222222,0.427135678,0.261306533,2.035175879,6.59798995,2.165829146,0.105527638,0.48241206,0.522613065,0.040201005,0.587939698,0.019230769,0.269230769,0,0.066666667,0.866666667,0,,
