年,週,合計
2019,1,4429
2019,2,11137
2019,3,14007
2019,4,14493
2019,5,10457
2019,6,6512
2019,7,2803
2019,8,1961
2019,9,1381
2019,10,964
2019,11,559
2019,12,504
2019,13,350
2019,14,287
2019,15,329
2019,16,644
2019,17,762
2019,18,266
2019,19,192
2019,20,215
2019,21,206
2019,22,192
2019,23,130
2019,24,96
2019,25,32
2019,26,35
2019,27,21
2019,28,13
2019,29,26
2019,30,16
2019,31,17
2019,32,23
2019,33,14
2019,34,14
2019,35,25
2019,36,81
2019,37,105
2019,38,116
2019,39,90
2019,40,93
2019,41,65
2019,42,70
2019,43,77
2019,44,115
2019,45,139
2019,46,254
2019,47,363
2019,48,598
2019,49,1171
2019,50,2500
2019,51,4120
2019,52,5320
2020,1,3348
2020,2,5689
2020,3,5569
2020,4,6358
2020,5,5078
2020,6,3480
2020,7,3493
2020,8,3321
2020,9,2965
2020,10,2197
2020,11,760
2020,12,306
2020,13,157
2020,14,92
2020,15,41
2020,16,10
2020,17,2
2020,18,1
2020,19,1
2020,20,2
2020,21,2
2020,22,0
2020,23,3
2020,24,0
2020,25,1
2020,26,2
2020,27,1
2020,28,3
2020,29,0
2020,30,1
2020,31,0
2020,32,0
2020,33,0
2020,34,0
2020,35,1
2020,36,1
2020,37,0
2020,38,2
2020,39,0
2020,40,5
2020,41,3
2020,42,2
2020,43,1
2020,44,2
2020,45,8
2020,46,2
2020,47,4
2020,48,6
2020,49,11
2020,50,4
2020,51,12
2020,52,10
2020,53,6
2021,1,9
2021,2,6
2021,3,2
2021,4,3
2021,5,3
2021,6,2
2021,7,6
2021,8,6
2021,9,2
2021,10,3
2021,11,1
2021,12,2
2021,13,5
2021,14,0
2021,15,0
2021,16,2
2021,17,2
2021,18,1
2021,19,1
2021,20,2
2021,21,1
2021,22,2
2021,23,1
2021,24,0
2021,25,0
2021,26,5
2021,27,1
2021,28,0
2021,29,0
2021,30,0
2021,31,1
2021,32,0
2021,33,0
2021,34,0
2021,35,2
2021,36,0
2021,37,0
2021,38,0
2021,39,0
2021,40,1
2021,41,1
2021,42,0
2021,43,3
2021,44,4
2021,45,3
2021,46,1
2021,47,1
2021,48,1
2021,49,4
2021,50,1
2021,51,2
2021,52,1
2022,1,4
2022,2,5
2022,3,7
2022,4,8
2022,5,5
2022,6,4
2022,7,0
2022,8,1
2022,9,8
2022,10,0
2022,11,1
2022,12,2
2022,13,1
2022,14,0
2022,15,0
2022,16,0
2022,17,0
2022,18,1
2022,19,0
2022,20,0
2022,21,0
2022,22,0
2022,23,1
2022,24,0
2022,25,1
2022,26,1
2022,27,17
2022,28,107
2022,29,105
2022,30,57
2022,31,21
2022,32,8
2022,33,8
2022,34,9
2022,35,4
2022,36,6
2022,37,3
2022,38,10
2022,39,4
2022,40,5
2022,41,14
2022,42,23
2022,43,24
2022,44,108
2022,45,148
2022,46,157
2022,47,148
2022,48,112
2022,49,201
2022,50,247
2022,51,671
2022,52,1314
2023,1,2256
2023,2,3641
2023,3,6097
2023,4,7254
2023,5,8913
2023,6,8381
2023,7,6569
2023,8,4377
2023,9,3085
2023,10,2465
2023,11,1554
2023,12,958
2023,13,503
2023,14,342
2023,15,231
2023,16,232
2023,17,244
2023,18,155
2023,19,137
2023,20,205
2023,21,187
2023,22,212
2023,23,202
2023,24,190
2023,25,159
2023,26,172
2023,27,223
2023,28,267
2023,29,253
2023,30,275
2023,31,253
2023,32,201
2023,33,331
2023,34,466
2023,35,743
2023,36,1189
2023,37,1384
2023,38,1534
2023,39,2023
2023,40,2183
2023,41,2535
2023,42,3438
2023,43,3859
2023,44,4046
2023,45,3883
2023,46,4774
2023,47,5958
2023,48,5366
2023,49,6794
2023,50,6035
2023,51,4827
2023,52,4789
