年,週,合計
2023,1,2256
2023,2,3641
2023,3,6097
2023,4,7254
2023,5,8913
2023,6,8381
2023,7,6569
2023,8,4377
2023,9,3085
2023,10,2465
2023,11,1554
2023,12,958
2023,13,503
2023,14,342
2023,15,231
2023,16,232
2023,17,244
2023,18,155
2023,19,137
2023,20,205
2023,21,187
2023,22,212
2023,23,202
2023,24,190
2023,25,159
2023,26,172
2023,27,223
2023,28,267
2023,29,253
2023,30,275
2023,31,253
2023,32,201
2023,33,331
2023,34,466
2023,35,743
2023,36,1189
2023,37,1384
2023,38,1534
2023,39,2023
2023,40,2183
2023,41,2535
2023,42,3438
2023,43,3859
2023,44,4046
2023,45,3883
2023,46,4774
2023,47,5958
2023,48,5366
2023,49,6794
2023,50,6035
2023,51,4827
2023,52,4789
