年月日,平均気温(℃),最低気温(℃),最高気温(℃),降水量の合計(mm),降雪量合計(cm),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2019/1/1,5.7,1.0,10.0,1.5,0.0,68.0,晴後曇,曇時々雨後晴、雷を伴う
2019/1/2,6.6,4.2,9.4,0.0,0.0,58.0,晴時々曇,快晴
2019/1/3,5.2,1.8,10.1,0.0,0.0,66.0,晴後一時曇,晴
2019/1/4,6.3,1.1,10.8,0.0,0.0,65.0,晴後時々曇,曇後一時雨
2019/1/5,8.8,6.9,12.0,0.0,0.0,65.0,曇時々晴一時雨,晴時々曇
2019/1/6,6.2,4.7,8.5,0.0,0.0,62.0,曇後時々晴,晴一時曇
2019/1/7,6.0,1.8,9.6,0.0,0.0,63.0,晴,晴一時薄曇
2019/1/8,8.2,4.0,11.9,0.0,0.0,59.0,薄曇後晴,晴後一時雨、みぞれを伴う
2019/1/9,5.4,2.5,8.0,0.0,0.0,55.0,晴後一時曇,晴後一時曇
2019/1/10,4.8,0.7,8.2,0.0,0.0,65.0,曇,曇
2019/1/11,8.2,5.6,12.7,0.0,0.0,59.0,曇後一時晴,曇一時晴
2019/1/12,5.7,3.9,7.9,0.0,0.0,66.0,曇,晴後時々曇
2019/1/13,7.2,3.2,12.4,0.0,0.0,62.0,晴,晴
2019/1/14,7.0,2.6,12.3,0.0,0.0,64.0,晴,晴後薄曇
2019/1/15,6.0,3.0,8.5,1.0,0.0,77.0,曇時々雨,曇後一時晴
2019/1/16,7.1,3.8,10.9,0.0,0.0,62.0,晴一時曇,晴時々曇
2019/1/17,7.3,2.9,10.2,0.0,0.0,53.0,曇時々晴,曇時々晴一時雨
2019/1/18,6.6,4.9,9.3,0.0,0.0,62.0,晴時々曇,晴一時曇
2019/1/19,7.3,2.4,12.1,0.0,0.0,62.0,晴,晴後曇時々雨
2019/1/20,8.0,5.5,11.6,2.0,0.0,70.0,雨後晴時々曇,曇一時雨後晴
2019/1/21,7.4,4.6,10.2,0.0,0.0,55.0,晴後時々曇,晴時々曇
2019/1/22,7.7,4.7,11.6,0.0,0.0,55.0,晴,晴
2019/1/23,7.9,2.2,12.4,0.0,0.0,62.0,晴一時曇,晴後曇一時雨
2019/1/24,6.7,4.6,9.7,0.0,0.0,51.0,晴,晴後曇
2019/1/25,7.0,3.6,9.7,0.0,0.0,55.0,曇一時晴,曇時々晴一時雨
2019/1/26,4.0,1.4,7.5,0.0,0.0,58.0,曇後晴,晴後曇一時雪
2019/1/27,5.0,2.1,8.5,0.0,0.0,59.0,曇一時雪後晴,晴
2019/1/28,6.0,1.4,10.5,0.0,0.0,66.0,曇後一時雨,晴一時曇
2019/1/29,5.4,3.0,8.7,0.0,0.0,54.0,曇時々晴,曇一時晴
2019/1/30,6.3,1.6,11.1,0.0,0.0,56.0,晴一時薄曇,曇時々晴
2019/1/31,5.7,4.2,7.0,18.0,0.0,76.0,雨時々曇,曇時々晴一時雨
2019/2/1,5.2,2.5,8.9,0.0,0.0,58.0,晴一時雪,晴一時曇
2019/2/2,6.9,2.3,10.9,0.0,0.0,60.0,快晴,晴
2019/2/3,6.8,2.6,11.0,5.0,0.0,78.0,曇時々晴後時々雨,雨時々曇
2019/2/4,10.5,6.9,14.2,0.5,0.0,72.0,曇時々晴,晴
2019/2/5,8.6,4.1,13.1,0.0,0.0,56.0,晴,曇後時々雨
2019/2/6,8.9,6.6,12.8,8.5,0.0,80.0,雨後晴,晴後薄曇
2019/2/7,10.0,5.9,12.6,0.0,0.0,82.0,曇,曇後晴
2019/2/8,6.6,3.4,10.6,0.0,0.0,62.0,曇一時晴,曇一時晴
2019/2/9,5.0,2.9,7.4,0.0,0.0,60.0,曇,薄曇時々晴
2019/2/10,4.2,2.5,7.2,0.0,0.0,55.0,晴後曇,曇
2019/2/11,4.1,2.7,6.1,0.0,0.0,73.0,みぞれ時々雪後曇,晴一時曇
2019/2/12,6.7,4.2,10.5,0.0,0.0,56.0,晴,曇
2019/2/13,7.4,4.4,10.7,0.0,0.0,57.0,晴一時曇,晴後時々薄曇
2019/2/14,4.9,3.0,7.9,0.0,0.0,57.0,曇,曇後晴
2019/2/15,4.6,1.0,6.7,0.0,0.0,60.0,曇一時晴,曇
2019/2/16,7.7,5.1,13.0,0.0,0.0,64.0,曇後一時雨,曇
2019/2/17,5.8,3.6,9.4,0.0,0.0,60.0,曇一時晴後一時雨,晴
2019/2/18,7.1,1.0,12.6,0.0,0.0,60.0,薄曇後時々晴,曇一時晴後時々雨
2019/2/19,9.0,6.6,11.7,12.0,0.0,84.0,雨,曇
2019/2/20,12.5,9.2,16.3,0.0,0.0,76.0,曇一時晴,曇時々晴
2019/2/21,8.2,7.2,10.1,0.0,0.0,54.0,曇,曇
2019/2/22,9.2,5.7,13.2,0.0,0.0,52.0,曇一時晴,曇後一時晴
2019/2/23,9.1,5.9,13.2,0.0,0.0,47.0,晴時々曇,薄曇時々晴
2019/2/24,8.7,3.6,14.3,0.0,0.0,51.0,薄曇,快晴
2019/2/25,10.6,5.5,16.2,0.0,0.0,60.0,晴後薄曇,薄曇時々晴
2019/2/26,9.9,6.0,15.1,0.0,0.0,49.0,快晴,晴
2019/2/27,8.8,4.2,12.7,0.0,0.0,48.0,曇,曇後時々雨
2019/2/28,10.2,8.7,11.8,16.5,0.0,82.0,雨後曇,曇後晴
2019/3/1,10.5,7.3,15.0,0.0,0.0,60.0,晴,晴後時々薄曇
2019/3/2,9.8,4.5,15.0,0.0,0.0,48.0,晴後曇,曇
2019/3/3,9.7,8.2,12.3,2.5,0.0,60.0,曇一時雨,雨
2019/3/4,9.5,7.9,11.2,18.0,0.0,84.0,雨時々曇,雨時々曇後晴
2019/3/5,11.4,7.4,15.9,0.0,0.0,54.0,晴後薄曇,曇
2019/3/6,11.4,9.0,16.9,5.0,0.0,63.0,曇後雨,雨後一時曇
2019/3/7,9.3,5.9,12.0,2.0,0.0,72.0,曇一時雨,晴時々曇
2019/3/8,7.9,5.0,13.2,0.0,0.0,49.0,晴,快晴
2019/3/9,9.3,2.5,14.8,0.0,0.0,57.0,晴後一時薄曇,曇
2019/3/10,10.9,8.6,12.7,16.0,0.0,76.0,雨時々曇,雨
2019/3/11,12.2,9.1,16.2,10.0,0.0,74.0,曇一時雨,晴一時雨
