年月日,平均気温(℃),最低気温(℃),最高気温(℃),降水量の合計(mm),降雪量合計(cm),平均湿度(％),天気概況(昼：06時〜18時),天気概況(夜：18時〜翌日06時)
2020/1/1,-5.8,-7.3,-4.1,2.5,5.0,76.0,雪後曇一時晴,雪時々曇一時晴
2020/1/2,-4.0,-7.1,-2.4,0.0,0.0,70.0,曇時々雪一時晴,曇一時雪
2020/1/3,-2.5,-5.4,-0.1,0.5,1.0,63.0,曇時々雪,雪時々曇
2020/1/4,-5.0,-7.4,-1.8,1.5,2.0,63.0,雪後晴,晴
2020/1/5,-4.7,-8.6,-1.8,2.0,4.0,66.0,雪時々曇一時晴、あられを伴う,晴時々雪一時曇
2020/1/6,-0.9,-3.2,0.5,1.5,2.0,65.0,雪時々曇,雪時々曇一時晴、あられを伴う
2020/1/7,-0.9,-5.1,1.0,1.5,1.0,79.0,曇,晴後曇
2020/1/8,-2.7,-5.4,1.6,2.0,2.0,83.0,曇後雪,曇一時雪後晴
2020/1/9,-1.6,-4.9,1.4,0.0,0.0,67.0,晴後曇,曇一時晴
2020/1/10,-2.7,-5.8,1.1,0.0,0.0,62.0,晴,晴後曇時々雪
2020/1/11,-1.6,-4.9,3.2,0.0,0.0,81.0,曇時々雪後晴,晴後曇
2020/1/12,-1.3,-4.1,1.1,0.0,0.0,79.0,曇後雪,曇時々雪
2020/1/13,-2.5,-5.2,0.7,0.0,0.0,65.0,曇時々晴,曇一時雪
2020/1/14,-2.7,-5.0,0.1,0.0,0.0,66.0,曇一時晴後時々雪,曇後雪
2020/1/15,-3.4,-5.1,-2.0,1.0,9.0,80.0,雪一時曇,雪後時々晴
2020/1/16,-2.9,-6.6,-0.6,1.5,4.0,73.0,晴後一時曇,曇後晴一時雪
2020/1/17,-2.7,-4.7,-0.2,0.0,0.0,65.0,晴一時雪,晴時々曇
2020/1/18,-3.7,-7.2,-0.6,0.0,0.0,64.0,曇後晴,薄曇
2020/1/19,-3.2,-8.8,0.3,0.0,0.0,70.0,薄曇時々晴,曇後時々雪
2020/1/20,-0.8,-2.4,1.1,14.0,26.0,89.0,雪,雪時々曇
2020/1/21,-2.2,-3.2,0.0,6.0,8.0,72.0,雪一時曇、あられを伴う,晴一時雪
2020/1/22,0.1,-5.5,3.8,0.5,0.0,70.0,曇時々晴,みぞれ一時曇後晴
2020/1/23,0.3,-4.6,3.0,0.5,0.0,70.0,晴,晴後一時曇
2020/1/24,-3.9,-6.4,-0.5,2.5,7.0,68.0,雪後時々曇,雪一時曇
2020/1/25,-5.4,-7.1,-3.2,4.5,6.0,68.0,雪時々晴一時曇,雪一時曇
2020/1/26,-5.0,-7.9,-1.4,1.5,2.0,68.0,雪一時曇後晴,晴後曇時々雪
2020/1/27,-1.0,-5.6,1.7,0.0,0.0,62.0,晴時々曇一時雪,快晴
2020/1/28,-2.0,-8.1,2.9,0.0,0.0,68.0,薄曇一時晴,曇後時々雪
2020/1/29,0.4,-2.7,2.1,5.0,3.0,87.0,雪後みぞれ,みぞれ後曇
