年月日,平均気温(℃),平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均湿度(％),平均湿度(％),平均湿度(％),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2020/1/1,5.5,8,1,3.2,8,1,10.2,8,1,0,1,8,1,0,1,8,1,49,8,1,晴,8,1,快晴,8,1
2020/1/2,6.2,8,1,1.9,8,1,11.3,8,1,0,1,8,1,0,1,8,1,60,8,1,晴一時曇,8,1,晴,8,1
2020/1/3,6.1,8,1,1.4,8,1,12.0,8,1,0,1,8,1,0,1,8,1,63,8,1,快晴,8,1,快晴,8,1
2020/1/4,7.2,8,1,3.6,8,1,12.2,8,1,0.0,0,8,1,0,1,8,1,53,8,1,曇時々晴,8,1,晴一時雨、みぞれを伴う,8,1
2020/1/5,5.4,8,1,0.6,8,1,10.2,8,1,1.0,0,8,1,0,1,8,1,61,8,1,快晴,8,1,快晴,8,1
2020/1/6,7.5,8,1,3.1,8,1,12.2,8,1,0,1,8,1,0,1,8,1,44,8,1,晴後一時曇,8,1,曇,8,1
2020/1/7,5.7,8,1,3.9,8,1,8.2,8,1,2.0,0,8,1,0,1,8,1,71,8,1,曇後雨,8,1,雨後曇,8,1
2020/1/8,5.2,8,1,3.8,8,1,7.6,8,1,11.5,0,8,1,0,1,8,1,97,8,1,曇一時雨,8,1,快晴,8,1
2020/1/9,10.6,8,1,4.6,8,1,14.9,8,1,0.0,0,8,1,0,1,8,1,47,8,1,晴後一時曇,8,1,曇時々雨,8,1
2020/1/10,8.4,8,1,5.5,8,1,12.6,8,1,0.0,0,8,1,0,1,8,1,59,8,1,晴,8,1,晴後曇,8,1
2020/1/11,7.0,8,1,5.2,8,1,10.5,8,1,0,1,8,1,0,1,8,1,68,8,1,曇後晴,8,1,晴,8,1
2020/1/12,6.7,8,1,2.5,8,1,10.2,8,1,0.0,0,8,1,0,1,8,1,72,8,1,曇後一時雨,8,1,曇一時晴,8,1
2020/1/13,8.5,8,1,4.6,8,1,13.7,8,1,0,1,8,1,0,1,8,1,68,8,1,快晴,8,1,晴一時曇,8,1
2020/1/14,8.4,8,1,4.7,8,1,13.5,8,1,0,1,8,1,0,1,8,1,71,8,1,晴後一時曇,8,1,曇一時晴後雨,8,1
2020/1/15,6.8,8,1,4.9,8,1,9.4,8,1,15.0,0,8,1,0,1,8,1,87,8,1,雨一時晴,8,1,晴後一時薄曇,8,1
2020/1/16,6.7,8,1,3.9,8,1,10.9,8,1,0,1,8,1,0,1,8,1,49,8,1,曇時々晴,8,1,曇時々晴,8,1
2020/1/17,7.3,8,1,3.9,8,1,11.1,8,1,0.0,0,8,1,0,1,8,1,59,8,1,曇,8,1,曇時々雨,8,1
2020/1/18,3.8,8,1,1.5,8,1,7.2,8,1,8.5,0,8,1,0,1,8,1,84,8,1,雨時々みぞれ一時雪,8,1,雨後曇一時晴,8,1
2020/1/19,6.5,8,1,1.9,8,1,11.1,8,1,0.0,0,8,1,0,1,8,1,64,8,1,晴後一時曇,8,1,晴一時曇,8,1
2020/1/20,7.5,8,1,2.0,8,1,14.1,8,1,0,1,8,1,0,1,8,1,62,8,1,快晴,8,1,晴,8,1
2020/1/21,7.4,8,1,3.9,8,1,11.8,8,1,0,1,8,1,0,1,8,1,46,8,1,快晴,8,1,晴後一時曇,8,1
2020/1/22,4.9,8,1,2.0,8,1,7.3,8,1,0.0,0,8,1,0,1,8,1,55,8,1,曇後一時晴,8,1,曇,8,1
2020/1/23,6.1,8,1,4.1,8,1,8.7,8,1,2.5,0,8,1,0,1,8,1,84,8,1,雨,8,1,曇,8,1
2020/1/24,9.9,8,1,7.4,8,1,13.4,8,1,0,1,8,1,0,1,8,1,73,8,1,曇,8,1,薄曇時々晴,8,1
2020/1/25,7.8,8,1,5.9,8,1,10.2,8,1,0,1,8,1,0,1,8,1,47,8,1,曇,8,1,曇後一時雨,8,1
2020/1/26,5.0,8,1,2.7,8,1,7.6,8,1,6.0,0,8,1,0,1,8,1,78,8,1,雨後曇,8,1,薄曇,8,1
2020/1/27,5.1,8,1,2.9,8,1,6.5,8,1,5.0,0,8,1,0,1,8,1,72,8,1,曇,8,1,雨時々みぞれ一時雪,8,1
2020/1/28,4.4,8,1,0.6,8,1,7.0,8,1,55.5,0,8,1,0,1,8,1,98,8,1,雨,8,1,大雨,8,1
2020/1/29,11.8,8,1,6.9,8,1,18.6,8,1,28.0,0,8,1,0,1,8,1,83,8,1,晴一時雨,8,1,晴一時曇,8,1
2020/1/30,11.7,8,1,6.8,8,1,17.5,8,1,0,1,8,1,0,1,8,1,61,8,1,晴,8,1,晴時々曇,8,1
2020/1/31,8.1,8,1,3.5,8,1,12.1,8,1,0,1,8,1,0,1,8,1,44,8,1,晴,8,1,快晴,8,1
2020/2/1,7.9,8,1,3.0,8,1,13.4,8,1,0,1,8,1,0,1,8,1,40,8,1,快晴,8,1,晴,8,1
2020/2/2,8.7,8,1,5.0,8,1,13.8,8,1,0,1,8,1,0,1,8,1,40,8,1,晴,8,1,曇後一時雨,8,1
2020/2/3,9.3,8,1,5.3,8,1,15.2,8,1,0.0,0,8,1,0,1,8,1,52,8,1,晴時々曇,8,1,晴時々薄曇,8,1
2020/2/4,7.9,8,1,4.8,8,1,11.4,8,1,0.0,0,8,1,0,1,8,1,54,8,1,曇時々晴,8,1,晴,8,1
2020/2/5,7.6,8,1,2.4,8,1,15.2,8,1,0,1,8,1,0,1,8,1,49,8,1,晴,8,1,晴後一時曇,8,1
2020/2/6,2.9,8,1,-0.4,8,1,6.9,8,1,0,1,8,1,0,1,8,1,34,8,1,快晴,8,1,快晴,8,1
2020/2/7,2.4,8,1,-2.1,8,1,6.9,8,1,0,1,8,1,0,1,8,1,48,8,1,薄曇時々晴,8,1,薄曇,8,1
2020/2/8,6.2,8,1,0.7,8,1,12.7,8,1,0.0,0,8,1,0,1,8,1,45,8,1,晴時々曇,8,1,晴一時曇,8,1
2020/2/9,3.9,8,1,1.2,8,1,8.3,8,1,0,1,8,1,0,1,8,1,37,8,1,快晴,8,1,快晴,8,1
2020/2/10,4.6,8,1,-0.2,8,1,10.1,8,1,0,1,8,1,0,1,8,1,46,8,1,晴一時曇,8,1,快晴,8,1
2020/2/11,6.3,8,1,1.1,8,1,11.7,8,1,0,1,8,1,0,1,8,1,46,8,1,快晴,8,1,晴後一時曇,8,1
