年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均湿度(％),平均湿度(％),平均湿度(％),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2022/1/1,7.2,8,1,1.9,8,1,3.8,8,1,0.0,0,8,1,0,1,8,1,62,8,1,晴後曇、みぞれを伴う,8,1,晴一時曇,8,1
2022/1/2,9.5,8,1,-0.1,8,1,4.8,8,1,0,1,8,1,0,1,8,1,65,8,1,晴,8,1,晴後一時曇,8,1
2022/1/3,11.5,8,1,3.5,8,1,7.7,8,1,0,1,8,1,0,1,8,1,56,8,1,晴,8,1,晴,8,1
2022/1/4,9.9,8,1,4.5,8,1,7.1,8,1,0.0,0,8,1,0,1,8,1,57,8,1,晴後曇時々雨,8,1,晴時々曇,8,1
2022/1/5,8.1,8,1,3.1,8,1,4.9,8,1,0.0,0,8,1,0,1,8,1,59,8,1,曇時々晴,8,1,曇一時晴,8,1
2022/1/6,7.0,8,1,2.6,8,1,4.2,8,1,0.0,0,8,1,0,1,8,1,70,8,1,雪一時曇後晴、みぞれを伴う,8,1,晴後一時曇,8,1
2022/1/7,8.1,8,1,3.8,8,1,5.8,8,1,0,1,8,1,0,1,8,1,55,8,1,曇後晴,8,1,晴,8,1
2022/1/8,10.5,8,1,1.4,8,1,5.7,8,1,0,1,8,1,0,1,8,1,57,8,1,晴,8,1,晴,8,1
2022/1/9,12.2,8,1,1.7,8,1,7.0,8,1,0,1,8,1,0,1,8,1,63,8,1,薄曇一時晴,8,1,曇時々晴,8,1
2022/1/10,13.6,8,1,4.6,8,1,9.0,8,1,0,1,8,1,0,1,8,1,58,8,1,晴,8,1,晴後曇,8,1
2022/1/11,8.3,8,1,4.2,8,1,6.4,8,1,7.5,0,8,1,0,1,8,1,69,8,1,雨後時々晴,8,1,晴一時曇,8,1
2022/1/12,6.5,8,1,2.8,8,1,4.3,8,1,0.0,0,8,1,0,1,8,1,63,8,1,曇一時晴後時々雪,8,1,曇,8,1
2022/1/13,8.1,8,1,1.5,8,1,4.6,8,1,0.0,0,8,1,0,1,8,1,51,8,1,晴,8,1,快晴,8,1
2022/1/14,6.6,8,1,1.0,8,1,3.6,8,1,0.0,0,8,1,0,1,8,1,59,8,1,晴後時々曇,8,1,曇一時晴,8,1
2022/1/15,9.6,8,1,2.6,8,1,5.9,8,1,0,1,8,1,0,1,8,1,55,8,1,曇後晴,8,1,晴一時曇,8,1
2022/1/16,11.0,8,1,0.5,8,1,6.5,8,1,0.0,0,8,1,0,1,8,1,68,8,1,晴時々曇,8,1,曇一時晴,8,1
2022/1/17,9.6,8,1,4.4,8,1,7.5,8,1,0,1,8,1,0,1,8,1,48,8,1,曇時々晴,8,1,晴一時曇,8,1
2022/1/18,6.0,8,1,2.5,8,1,3.9,8,1,0.0,0,8,1,0,1,8,1,59,8,1,晴時々曇一時みぞれ,8,1,晴後曇,8,1
2022/1/19,7.9,8,1,0.9,8,1,4.4,8,1,0.0,0,8,1,0,1,8,1,63,8,1,晴時々曇一時みぞれ,8,1,晴一時雨,8,1
2022/1/20,7.7,8,1,1.6,8,1,4.4,8,1,0.0,0,8,1,0,1,8,1,59,8,1,晴,8,1,快晴,8,1
2022/1/21,6.8,8,1,1.0,8,1,3.4,8,1,0.0,0,8,1,0,1,8,1,59,8,1,晴後曇時々雪,8,1,曇,8,1
2022/1/22,9.0,8,1,3.2,8,1,5.1,8,1,0,1,8,1,0,1,8,1,55,8,1,曇後晴,8,1,晴後薄曇,8,1
2022/1/23,5.3,8,1,1.9,8,1,3.6,8,1,12.5,0,8,1,0,1,8,1,82,8,1,曇後雨,8,1,雨後曇,8,1
2022/1/24,10.3,8,1,3.8,8,1,6.1,8,1,0.0,0,8,1,0,1,8,1,69,8,1,曇一時雨後晴,8,1,晴,8,1
2022/1/25,8.6,8,1,0.5,8,1,5.0,8,1,0,1,8,1,0,1,8,1,68,8,1,曇時々晴,8,1,晴,8,1
2022/1/26,11.4,8,1,1.5,8,1,7.0,8,1,0.0,0,8,1,0,1,8,1,66,8,1,晴後一時曇,8,1,曇時々晴,8,1
2022/1/27,11.2,8,1,4.5,8,1,7.7,8,1,0.0,0,8,1,0,1,8,1,58,8,1,晴時々曇,8,1,晴,8,1
2022/1/28,11.2,8,1,2.0,8,1,6.3,8,1,0,1,8,1,0,1,8,1,66,8,1,晴後曇,8,1,晴後薄曇,8,1
2022/1/29,9.9,8,1,3.2,8,1,6.4,8,1,0,1,8,1,0,1,8,1,64,8,1,曇後一時晴,8,1,晴一時曇,8,1
2022/1/30,10.0,8,1,4.5,8,1,6.6,8,1,0.0,0,8,1,0,1,8,1,54,8,1,曇一時晴,8,1,曇後晴,8,1
2022/1/31,9.7,8,1,1.9,8,1,5.3,8,1,0,1,8,1,0,1,8,1,61,8,1,晴時々曇,8,1,晴,8,1
2022/2/1,11.0,8,1,1.2,8,1,5.9,8,1,0.0,0,8,1,0,1,8,1,58,8,1,晴後時々雨,8,1,晴一時曇,8,1
2022/2/2,9.5,8,1,2.5,8,1,6.2,8,1,0,1,8,1,0,1,8,1,56,8,1,晴,8,1,晴後曇,8,1
2022/2/3,9.7,8,1,4.7,8,1,6.7,8,1,0,1,8,1,0,1,8,1,50,8,1,曇一時晴,8,1,晴一時曇,8,1
2022/2/4,9.5,8,1,2.0,8,1,5.5,8,1,0,1,8,1,0,1,8,1,53,8,1,晴,8,1,晴,8,1
2022/2/5,6.5,8,1,1.7,8,1,3.9,8,1,0,1,8,1,0,1,8,1,44,8,1,晴時々曇,8,1,快晴,8,1
2022/2/6,7.2,8,1,0.9,8,1,3.3,8,1,0.0,0,8,1,0,1,8,1,52,8,1,晴,8,1,快晴,8,1
2022/2/7,8.4,8,1,0.2,8,1,4.4,8,1,0,1,8,1,0,1,8,1,58,8,1,晴,8,1,曇,8,1
2022/2/8,10.3,8,1,3.5,8,1,5.7,8,1,0.0,0,8,1,0,1,8,1,64,8,1,曇後一時雨,8,1,曇一時雨後晴,8,1
2022/2/9,11.4,8,1,2.9,8,1,6.2,8,1,0,1,8,1,0,1,8,1,59,8,1,晴後薄曇,8,1,晴後薄曇,8,1
2022/2/10,7.8,8,1,4.5,8,1,6.1,8,1,0.0,0,8,1,0,1,8,1,64,8,1,曇時々雨後晴,8,1,晴,8,1
2022/2/11,11.9,8,1,1.9,8,1,6.9,8,1,0,1,8,1,0,1,8,1,63,8,1,晴,8,1,晴後一時薄曇,8,1
2022/2/12,13.3,8,1,2.2,8,1,7.1,8,1,0,1,8,1,0,1,8,1,55,8,1,薄曇後一時晴,8,1,晴後一時曇,8,1
2022/2/13,7.1,8,1,3.7,8,1,4.8,8,1,8.0,0,8,1,0,1,8,1,78,8,1,曇後雨,8,1,曇一時雨,8,1
2022/2/14,11.5,8,1,4.1,8,1,7.0,8,1,0,1,8,1,0,1,8,1,62,8,1,曇後晴,8,1,晴一時曇,8,1
2022/2/15,12.6,8,1,1.9,8,1,7.4,8,1,0.0,0,8,1,0,1,8,1,62,8,1,曇時々晴,8,1,曇時々晴一時雨,8,1
2022/2/16,7.5,8,1,2.0,8,1,4.8,8,1,0.0,0,8,1,0,1,8,1,46,8,1,晴一時雪,8,1,晴,8,1
