年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均湿度(％),平均湿度(％),平均湿度(％),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2022/1/1,7.8,8,1,-1.0,8,1,3.4,8,1,0,1,8,1,0,1,8,1,32,8,1,快晴,8,1,晴後一時曇,8,1
2022/1/2,7.9,8,1,0.4,8,1,3.5,8,1,0,1,8,1,0,1,8,1,52,8,1,曇後晴,8,1,快晴,8,1
2022/1/3,10.5,8,1,0.5,8,1,5.5,8,1,0,1,8,1,0,1,8,1,56,8,1,晴,8,1,快晴,8,1
2022/1/4,12.4,8,1,0.6,8,1,5.2,8,1,0,1,8,1,0,1,8,1,56,8,1,快晴,8,1,快晴,8,1
2022/1/5,8.7,8,1,0.6,8,1,4.1,8,1,0,1,8,1,0,1,8,1,37,8,1,快晴,8,1,曇時々晴,8,1
2022/1/6,2.6,8,1,-1.7,8,1,0.7,8,1,6.5,0,8,1,10,0,8,1,74,8,1,曇後大雪,8,1,晴一時雪,8,1
2022/1/7,8.4,8,1,-3.5,8,1,2.6,8,1,0,1,8,1,0,1,8,1,64,8,1,快晴,8,1,晴,8,1
2022/1/8,9.5,8,1,-0.2,8,1,4.5,8,1,0,1,8,1,0,1,8,1,53,8,1,快晴,8,1,晴,8,1
2022/1/9,13.4,8,1,-0.5,8,1,6.3,8,1,0,1,8,1,0,1,8,1,53,8,1,晴後薄曇,8,1,曇,8,1
2022/1/10,9.6,8,1,6.1,8,1,7.7,8,1,0.0,0,8,1,0,1,8,1,60,8,1,曇一時晴,8,1,曇,8,1
2022/1/11,7.2,8,1,4.3,8,1,5.7,8,1,16.0,0,8,1,0,1,8,1,91,8,1,雨一時曇,8,1,曇一時雨後晴,8,1
2022/1/12,8.6,8,1,2.4,8,1,5.0,8,1,0,1,8,1,0,1,8,1,46,8,1,快晴,8,1,晴後時々曇,8,1
2022/1/13,11.5,8,1,2.3,8,1,5.7,8,1,0,1,8,1,0,1,8,1,44,8,1,晴時々曇,8,1,晴時々曇,8,1
2022/1/14,8.6,8,1,0.7,8,1,4.4,8,1,0,1,8,1,0,1,8,1,38,8,1,快晴,8,1,快晴,8,1
2022/1/15,10.5,8,1,-0.2,8,1,5.5,8,1,0,1,8,1,0,1,8,1,39,8,1,薄曇,8,1,晴一時薄曇,8,1
2022/1/16,11.1,8,1,0.3,8,1,5.4,8,1,0,1,8,1,0,1,8,1,60,8,1,快晴,8,1,晴後一時薄曇,8,1
2022/1/17,11.8,8,1,1.4,8,1,6.0,8,1,0.0,0,8,1,0,1,8,1,58,8,1,薄曇時々晴,8,1,晴、みぞれを伴う,8,1
2022/1/18,8.7,8,1,1.6,8,1,4.4,8,1,0,1,8,1,0,1,8,1,39,8,1,快晴,8,1,快晴,8,1
2022/1/19,8.1,8,1,0.6,8,1,3.7,8,1,0,1,8,1,0,1,8,1,44,8,1,晴時々曇,8,1,晴,8,1
2022/1/20,8.4,8,1,-1.0,8,1,3.4,8,1,0,1,8,1,0,1,8,1,53,8,1,快晴,8,1,快晴,8,1
2022/1/21,7.8,8,1,-0.9,8,1,3.0,8,1,0,1,8,1,0,1,8,1,43,8,1,晴,8,1,快晴,8,1
2022/1/22,9.9,8,1,-0.1,8,1,4.5,8,1,0,1,8,1,0,1,8,1,43,8,1,快晴,8,1,曇時々晴,8,1
2022/1/23,7.7,8,1,1.6,8,1,5.1,8,1,0.0,0,8,1,0,1,8,1,54,8,1,曇,8,1,曇時々雨,8,1
2022/1/24,11.0,8,1,1.4,8,1,6.4,8,1,0.0,0,8,1,0,1,8,1,53,8,1,曇一時晴,8,1,快晴,8,1
2022/1/25,9.6,8,1,0.3,8,1,5.2,8,1,0.0,0,8,1,0,1,8,1,57,8,1,晴後曇,8,1,雨時々曇,8,1
2022/1/26,9.5,8,1,3.7,8,1,5.5,8,1,0.0,0,8,1,0,1,8,1,83,8,1,曇後晴,8,1,快晴,8,1
2022/1/27,11.9,8,1,2.0,8,1,6.8,8,1,0,1,8,1,0,1,8,1,53,8,1,薄曇後時々晴,8,1,曇,8,1
2022/1/28,11.8,8,1,4.1,8,1,6.6,8,1,0,1,8,1,0,1,8,1,41,8,1,曇時々晴,8,1,晴後曇,8,1
2022/1/29,10.0,8,1,3.7,8,1,5.9,8,1,0,1,8,1,0,1,8,1,49,8,1,曇後時々晴,8,1,薄曇後晴,8,1
2022/1/30,8.2,8,1,2.2,8,1,5.2,8,1,0,1,8,1,0,1,8,1,44,8,1,曇,8,1,曇後晴,8,1
2022/1/31,10.0,8,1,1.5,8,1,4.9,8,1,0,1,8,1,0,1,8,1,36,8,1,快晴,8,1,快晴,8,1
2022/2/1,11.2,8,1,1.1,8,1,5.6,8,1,0,1,8,1,0,1,8,1,46,8,1,晴,8,1,快晴,8,1
2022/2/2,11.1,8,1,0.9,8,1,5.5,8,1,0,1,8,1,0,1,8,1,45,8,1,晴,8,1,晴,8,1
2022/2/3,11.8,8,1,0.6,8,1,5.8,8,1,0,1,8,1,0,1,8,1,42,8,1,晴時々薄曇,8,1,薄曇,8,1
2022/2/4,8.5,8,1,2.4,8,1,4.9,8,1,0,1,8,1,0,1,8,1,50,8,1,曇,8,1,快晴,8,1
2022/2/5,9.2,8,1,0.3,8,1,3.5,8,1,0,1,8,1,0,1,8,1,45,8,1,晴一時曇,8,1,快晴,8,1
2022/2/6,8.2,8,1,-1.9,8,1,2.3,8,1,0,1,8,1,0,1,8,1,45,8,1,晴時々曇,8,1,快晴,8,1
2022/2/7,9.7,8,1,-0.5,8,1,4.5,8,1,0,1,8,1,0,1,8,1,36,8,1,晴,8,1,晴後曇,8,1
2022/2/8,9.1,8,1,2.2,8,1,5.3,8,1,0,1,8,1,0,1,8,1,55,8,1,曇後晴,8,1,曇後晴,8,1
2022/2/9,10.8,8,1,1.8,8,1,6.2,8,1,0,1,8,1,0,1,8,1,50,8,1,晴時々薄曇,8,1,曇後時々雨,8,1
2022/2/10,6.1,8,1,0.6,8,1,2.3,8,1,27.0,0,8,1,2,0,8,1,90,8,1,みぞれ一時雨後一時雪,8,1,みぞれ時々雪,8,1
2022/2/11,9.2,8,1,0.7,8,1,4.1,8,1,2.5,0,8,1,0,1,8,1,77,8,1,晴一時曇,8,1,晴,8,1
2022/2/12,9.9,8,1,0.2,8,1,4.7,8,1,0,1,8,1,0,1,8,1,62,8,1,薄曇後時々晴,8,1,晴,8,1
2022/2/13,5.0,8,1,0.8,8,1,3.1,8,1,22.5,0,8,1,0,1,8,1,86,8,1,曇後雨,8,1,みぞれ一時雨,8,1
2022/2/14,8.0,8,1,0.8,8,1,3.9,8,1,3.5,0,8,1,0,1,8,1,77,8,1,曇後一時晴,8,1,晴,8,1
2022/2/15,11.6,8,1,1.1,8,1,5.5,8,1,0,1,8,1,0,1,8,1,72,8,1,晴時々曇,8,1,快晴,8,1
2022/2/16,11.8,8,1,1.3,8,1,6.0,8,1,0.0,0,8,1,0,1,8,1,60,8,1,晴,8,1,晴,8,1
2022/2/17,9.7,8,1,0.5,8,1,4.6,8,1,0,1,8,1,0,1,8,1,34,8,1,晴,8,1,快晴,8,1
2022/2/18,11.4,8,1,-0.2,8,1,5.7,8,1,0,1,8,1,0,1,8,1,41,8,1,快晴,8,1,晴,8,1
2022/2/19,8.9,8,1,1.5,8,1,5.0,8,1,6.5,0,8,1,0,1,8,1,72,8,1,曇後一時雨,8,1,雨後一時曇,8,1
2022/2/20,10.0,8,1,2.4,8,1,5.9,8,1,9.0,0,8,1,0,1,8,1,77,8,1,曇時々雨,8,1,快晴,8,1
2022/2/21,8.7,8,1,1.2,8,1,4.1,8,1,0,1,8,1,0,1,8,1,34,8,1,快晴,8,1,快晴,8,1
2022/2/22,10.0,8,1,-0.5,8,1,4.4,8,1,0,1,8,1,0,1,8,1,38,8,1,晴,8,1,晴,8,1
2022/2/23,10.3,8,1,0.1,8,1,4.4,8,1,0,1,8,1,0,1,8,1,38,8,1,晴,8,1,晴後曇,8,1
2022/2/24,10.1,8,1,1.7,8,1,4.8,8,1,0,1,8,1,0,1,8,1,34,8,1,晴一時曇,8,1,快晴,8,1
2022/2/25,13.4,8,1,-0.1,8,1,6.5,8,1,0,1,8,1,0,1,8,1,34,8,1,快晴,8,1,快晴,8,1
2022/2/26,14.7,8,1,3.0,8,1,8.6,8,1,0,1,8,1,0,1,8,1,47,8,1,晴,8,1,晴一時薄曇,8,1
2022/2/27,18.5,8,1,3.2,8,1,9.5,8,1,0,1,8,1,0,1,8,1,44,8,1,快晴,8,1,快晴,8,1
2022/2/28,15.9,8,1,4.5,8,1,9.8,8,1,0,1,8,1,0,1,8,1,41,8,1,晴後時々曇,8,1,薄曇後晴,8,1
2022/3/1,18.3,8,1,4.9,8,1,11.0,8,1,0.0,0,8,1,0,1,8,1,51,8,1,薄曇後一時晴,8,1,曇後晴,8,1
2022/3/2,16.3,8,1,7.2,8,1,11.2,8,1,4.0,0,8,1,0,1,8,1,57,8,1,曇時々晴,8,1,曇一時雨後晴,8,1
2022/3/3,15.0,8,1,4.7,8,1,9.5,8,1,0.0,0,8,1,0,1,8,1,64,8,1,晴一時曇,8,1,晴後一時曇,8,1
2022/3/4,12.2,8,1,4.7,8,1,8.1,8,1,0,1,8,1,0,1,8,1,49,8,1,薄曇時々晴,8,1,曇後晴,8,1
2022/3/5,17.9,8,1,4.3,8,1,11.2,8,1,0,1,8,1,0,1,8,1,55,8,1,快晴,8,1,晴,8,1
2022/3/6,13.9,8,1,4.6,8,1,8.1,8,1,0,1,8,1,0,1,8,1,33,8,1,晴後一時曇,8,1,快晴,8,1
2022/3/7,14.2,8,1,3.9,8,1,8.3,8,1,0,1,8,1,0,1,8,1,35,8,1,晴後薄曇,8,1,曇後一時雨,8,1
2022/3/8,8.0,8,1,4.1,8,1,6.3,8,1,0.5,0,8,1,0,1,8,1,74,8,1,雨後曇,8,1,曇時々晴,8,1
2022/3/9,13.6,8,1,2.6,8,1,7.9,8,1,0,1,8,1,0,1,8,1,58,8,1,晴後薄曇,8,1,晴,8,1
