年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),降雪量合計(cm),平均湿度(％),平均湿度(％),平均湿度(％),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2023/1/1,1.5,8,1,-6.1,8,1,-1.9,8,1,2.5,0,8,1,6,0,8,1,76,8,1,雪一時晴,8,1,雪一時晴,8,1
2023/1/2,-4.8,8,1,-8.2,8,1,-6.7,8,1,0.0,0,8,1,0,1,8,1,56,8,1,晴一時雪,8,1,晴一時雪,8,1
2023/1/3,-3.7,8,1,-7.5,8,1,-5.9,8,1,0.0,0,8,1,1,0,8,1,56,8,1,晴一時雪,8,1,晴後一時雪,8,1
2023/1/4,-2.3,8,1,-7.2,8,1,-5.3,8,1,0.0,0,8,1,2,0,8,1,56,8,1,晴時々雪,8,1,晴一時雪,8,1
2023/1/5,0.0,8,1,-5.0,8,1,-2.1,8,1,0.0,0,8,1,1,0,8,1,56,8,1,晴時々雪,8,1,雪後時々曇,8,1
2023/1/6,1.4,8,1,-3.0,8,1,-1.0,8,1,0.0,0,8,1,1,0,8,1,62,8,1,晴一時雪,8,1,晴,8,1
2023/1/7,-0.4,8,1,-5.7,8,1,-2.8,8,1,0.5,0,8,1,1,0,8,1,79,8,1,雪一時曇,8,1,晴一時雪,8,1
2023/1/8,-1.2,8,1,-7.4,8,1,-4.4,8,1,0.0,0,8,1,0,1,8,1,73,8,1,晴時々曇,8,1,晴一時曇,8,1
2023/1/9,2.7,8,1,-4.5,8,1,-1.5,8,1,4.5,0,8,1,8,0,8,1,77,8,1,晴一時雪,8,1,雪一時曇、ふぶきを伴う,8,1
2023/1/10,-1.1,8,1,-5.1,8,1,-3.4,8,1,16.0,0,8,1,20,0,8,1,83,8,1,雪,8,1,曇時々雪,8,1
2023/1/11,2.4,8,1,-4.1,8,1,-1.5,8,1,0.0,0,8,1,0,1,8,1,80,8,1,晴一時曇,8,1,晴一時曇,8,1
2023/1/12,6.0,8,1,-3.0,8,1,0.7,8,1,0,1,8,1,0,1,8,1,81,8,1,快晴,8,1,快晴,8,1
2023/1/13,7.6,8,1,-4.6,8,1,2.6,8,1,0.0,0,8,1,0,1,8,1,83,8,1,曇,8,1,曇後時々雨,8,1
2023/1/14,5.4,8,1,-2.8,8,1,1.5,8,1,0.5,0,8,1,0,1,8,1,72,8,1,曇時々雪一時雨、あられを伴う,8,1,曇,8,1
2023/1/15,-2.8,8,1,-6.4,8,1,-4.7,8,1,0.5,0,8,1,2,0,8,1,58,8,1,曇,8,1,雪一時曇,8,1
2023/1/16,-2.4,8,1,-6.4,8,1,-4.6,8,1,18.5,0,8,1,30,0,8,1,89,8,1,雪,8,1,雪後一時晴,8,1
2023/1/17,-2.2,8,1,-9.6,8,1,-5.5,8,1,0.5,0,8,1,0,1,8,1,68,8,1,晴後時々雪一時曇,8,1,曇一時雪後時々晴,8,1
2023/1/18,0.3,8,1,-7.3,8,1,-4.5,8,1,2.0,0,8,1,5,0,8,1,69,8,1,晴後時々雪,8,1,雪時々曇,8,1
2023/1/19,-1.4,8,1,-7.4,8,1,-4.4,8,1,1.0,0,8,1,4,0,8,1,76,8,1,晴一時雪,8,1,雪一時曇,8,1
2023/1/20,1.7,8,1,-3.2,8,1,-0.9,8,1,6.0,0,8,1,9,0,8,1,72,8,1,晴一時雪後曇,8,1,雪後時々曇,8,1
2023/1/21,-2.8,8,1,-8.7,8,1,-5.7,8,1,8.0,0,8,1,13,0,8,1,71,8,1,雪一時晴,8,1,晴後時々雪,8,1
2023/1/22,-3.0,8,1,-8.3,8,1,-5.8,8,1,0.0,0,8,1,0,1,8,1,56,8,1,晴時々雪,8,1,雪時々晴,8,1
2023/1/23,-3.8,8,1,-8.5,8,1,-5.9,8,1,3.5,0,8,1,5,0,8,1,64,8,1,曇一時晴,8,1,雪後晴時々曇,8,1
2023/1/24,-5.1,8,1,-12.4,8,1,-8.5,8,1,2.5,0,8,1,3,0,8,1,67,8,1,雪時々曇後一時晴,8,1,晴後曇一時雪,8,1
2023/1/25,-8.9,8,1,-12.8,8,1,-11.0,8,1,4.0,0,8,1,4,0,8,1,59,8,1,雪一時晴後一時曇、ふぶきを伴う,8,1,雪一時曇,8,1
2023/1/26,-4.6,8,1,-10.2,8,1,-7.1,8,1,1.0,0,8,1,0,1,8,1,57,8,1,晴後一時雪,8,1,晴時々雪,8,1
2023/1/27,-2.2,8,1,-10.1,8,1,-6.1,8,1,0.0,0,8,1,1,0,8,1,70,8,1,晴一時曇,8,1,晴一時曇,8,1
2023/1/28,-3.1,8,1,-10.6,8,1,-7.5,8,1,0.0,0,8,1,1,0,8,1,62,8,1,晴後薄曇一時雪,8,1,曇時々雪後一時晴,8,1
2023/1/29,-4.2,8,1,-11.6,8,1,-8.0,8,1,0.0,0,8,1,0,1,8,1,52,8,1,晴,8,1,快晴,8,1
2023/1/30,-0.8,8,1,-13.2,8,1,-6.9,8,1,0.0,0,8,1,0,1,8,1,67,8,1,晴後曇一時雪,8,1,晴時々雪,8,1
2023/1/31,-3.1,8,1,-10.0,8,1,-6.1,8,1,0.0,0,8,1,0,1,8,1,66,8,1,晴一時雪,8,1,晴一時曇,8,1
2023/2/1,0.0,8,1,-9.0,8,1,-4.1,8,1,9.5,0,8,1,10,0,8,1,81,8,1,曇時々晴後雪,8,1,雪、大風を伴う,8,1
